# Browsec VPN IPs - 20231107 - craiu@noh.ro 
# extended list from https://sec.okta.com/articles/2023/10/tracking-unauthorized-access-oktas-support-system
103.75.119.13 | 136258 | 103.75.119.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.206 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.220 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.230 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.231 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.232 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.233 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.239 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.250 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.40 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.73 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.76 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.78 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.79 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.186.79.87 | 136258 | 185.186.79.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.46.57.175 | 21069 | 185.46.56.0/22 | AS21069 | CH | METANET AG
185.82.217.106 | 59729 | 185.82.216.0/22 | AS59729 | UA | ITL LLC
185.90.61.152 | 136258 | 185.90.61.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.90.61.157 | 136258 | 185.90.61.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.90.61.212 | 136258 | 185.90.61.0/24 | AS136258 | CA | BrainStorm Network, Inc
185.90.61.59 | 136258 | 185.90.61.0/24 | AS136258 | CA | BrainStorm Network, Inc
192.36.61.121 | 56630 | 192.36.61.0/24 | AS56630 | LT | Melbikomas UAB
192.36.61.152 | 56630 | 192.36.61.0/24 | AS56630 | LT | Melbikomas UAB
192.36.61.61 | 56630 | 192.36.61.0/24 | AS56630 | LT | Melbikomas UAB
192.71.213.12 | 39020 | 192.71.213.0/24 | AS39020 | ES | Comvive Servidores S.L.
192.71.213.24 | 39020 | 192.71.213.0/24 | AS39020 | ES | Comvive Servidores S.L.
192.71.213.84 | 39020 | 192.71.213.0/24 | AS39020 | ES | Comvive Servidores S.L.
192.71.244.62 | 48894 | 192.71.244.0/24 | AS48894 | SI | Optimus IT d.o.o.
192.71.244.96 | 48894 | 192.71.244.0/24 | AS48894 | SI | Optimus IT d.o.o.
192.71.249.84 | 9009 | 192.71.249.0/24 | AS9009 | RO | M247 Europe SRL
193.182.144.195 | 61102 | 193.182.144.0/24 | AS61102 | IL | Interhost Communication Solutions Ltd.
193.182.144.21 | 61102 | 193.182.144.0/24 | AS61102 | IL | Interhost Communication Solutions Ltd.
193.42.108.84 | 60144 | 193.42.108.0/23 | AS60144 | NL | 3W Infra B.V.
193.42.108.86 | 60144 | 193.42.108.0/23 | AS60144 | NL | 3W Infra B.V.
193.42.108.88 | 60144 | 193.42.108.0/23 | AS60144 | NL | 3W Infra B.V.
193.42.108.90 | 60144 | 193.42.108.0/23 | AS60144 | NL | 3W Infra B.V.
193.42.108.92 | 60144 | 193.42.108.0/23 | AS60144 | NL | 3W Infra B.V.
193.42.108.94 | 60144 | 193.42.108.0/23 | AS60144 | NL | 3W Infra B.V.
193.42.108.96 | 60144 | 193.42.108.0/23 | AS60144 | NL | 3W Infra B.V.
193.42.108.98 | 60144 | 193.42.108.0/23 | AS60144 | NL | 3W Infra B.V.
194.68.32.117 | 9009 | 194.68.32.0/24 | AS9009 | RO | M247 Europe SRL
194.68.32.14 | 9009 | 194.68.32.0/24 | AS9009 | RO | M247 Europe SRL
194.68.32.174 | 9009 | 194.68.32.0/24 | AS9009 | RO | M247 Europe SRL
194.68.44.178 | 9009 | 194.68.44.0/24 | AS9009 | RO | M247 Europe SRL
194.68.44.193 | 9009 | 194.68.44.0/24 | AS9009 | RO | M247 Europe SRL
194.71.126.33 | 9009 | 194.71.126.0/24 | AS9009 | RO | M247 Europe SRL
194.71.130.138 | 5483 | 194.71.130.0/24 | AS5483 | HU | Magyar Telekom plc.
194.71.130.151 | 5483 | 194.71.130.0/24 | AS5483 | HU | Magyar Telekom plc.
194.71.130.225 | 5483 | 194.71.130.0/24 | AS5483 | HU | Magyar Telekom plc.
194.71.130.36 | 5483 | 194.71.130.0/24 | AS5483 | HU | Magyar Telekom plc.
194.71.227.159 | 9009 | 194.71.227.0/24 | AS9009 | RO | M247 Europe SRL
194.71.227.173 | 9009 | 194.71.227.0/24 | AS9009 | RO | M247 Europe SRL
194.71.227.176 | 9009 | 194.71.227.0/24 | AS9009 | RO | M247 Europe SRL
194.71.227.196 | 9009 | 194.71.227.0/24 | AS9009 | RO | M247 Europe SRL
194.71.227.216 | 9009 | 194.71.227.0/24 | AS9009 | RO | M247 Europe SRL
194.71.227.232 | 9009 | 194.71.227.0/24 | AS9009 | RO | M247 Europe SRL
194.71.227.247 | 9009 | 194.71.227.0/24 | AS9009 | RO | M247 Europe SRL
194.71.227.97 | 9009 | 194.71.227.0/24 | AS9009 | RO | M247 Europe SRL
195.123.213.105 | 50979 | 195.123.208.0/21 | AS50979 | UA | ITL LLC
195.123.224.6 | 59729 | 195.123.224.0/21 | AS59729 | UA | ITL LLC
195.123.228.64 | 59729 | 195.123.224.0/21 | AS59729 | UA | ITL LLC
195.123.228.74 | 59729 | 195.123.224.0/21 | AS59729 | UA | ITL LLC
195.123.245.222 | 204957 | 195.123.244.0/22 | AS204957 | US | GREEN FLOID LLC
197.189.202.16 | 37153 | 197.189.192.0/19 | AS37153 | ZA | Xneelo (Pty) Ltd
197.189.202.28 | 37153 | 197.189.192.0/19 | AS37153 | ZA | Xneelo (Pty) Ltd
197.189.202.7 | 37153 | 197.189.192.0/19 | AS37153 | ZA | Xneelo (Pty) Ltd
198.16.66.100 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.101 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.123 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.124 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.125 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.139 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.140 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.141 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.155 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.156 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.157 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.66.99 | 174 | 198.16.66.0/23 | AS174 | US | Cogent Communications
198.16.70.27 | 174 | 198.16.70.0/23 | AS174 | US | Cogent Communications
198.16.70.28 | 174 | 198.16.70.0/23 | AS174 | US | Cogent Communications
198.16.70.29 | 174 | 198.16.70.0/23 | AS174 | US | Cogent Communications
198.16.70.51 | 174 | 198.16.70.0/23 | AS174 | US | Cogent Communications
198.16.70.52 | 174 | 198.16.70.0/23 | AS174 | US | Cogent Communications
198.16.70.53 | 174 | 198.16.70.0/23 | AS174 | US | Cogent Communications
198.16.74.203 | 174 | 198.16.74.0/23 | AS174 | US | Cogent Communications
198.16.74.204 | 174 | 198.16.74.0/23 | AS174 | US | Cogent Communications
198.16.74.205 | 174 | 198.16.74.0/23 | AS174 | US | Cogent Communications
198.16.74.43 | 174 | 198.16.74.0/23 | AS174 | US | Cogent Communications
198.16.74.44 | 174 | 198.16.74.0/23 | AS174 | US | Cogent Communications
198.16.74.45 | 174 | 198.16.74.0/23 | AS174 | US | Cogent Communications
198.16.76.27 | 174 | 198.16.76.0/23 | AS174 | US | Cogent Communications
198.16.76.28 | 174 | 198.16.76.0/23 | AS174 | US | Cogent Communications
198.16.76.29 | 174 | 198.16.76.0/23 | AS174 | US | Cogent Communications
198.16.76.67 | 174 | 198.16.76.0/23 | AS174 | US | Cogent Communications
198.16.76.68 | 174 | 198.16.76.0/23 | AS174 | US | Cogent Communications
198.16.76.69 | 174 | 198.16.76.0/23 | AS174 | US | Cogent Communications
198.16.78.43 | 174 | 198.16.78.0/23 | AS174 | US | Cogent Communications
198.16.78.44 | 174 | 198.16.78.0/23 | AS174 | US | Cogent Communications
198.16.78.45 | 174 | 198.16.78.0/23 | AS174 | US | Cogent Communications
202.182.121.6 | 20473 | 202.182.112.0/20 | AS20473 | US | The Constant Company, LLC
202.182.126.2 | 20473 | 202.182.112.0/20 | AS20473 | US | The Constant Company, LLC
205.251.193.157 | 16509 | 205.251.193.0/24 | AS16509 | US | Amazon.com, Inc.
205.251.193.71 | 16509 | 205.251.193.0/24 | AS16509 | US | Amazon.com, Inc.
205.251.194.166 | 16509 | 205.251.194.0/24 | AS16509 | US | Amazon.com, Inc.
205.251.194.5 | 16509 | 205.251.194.0/24 | AS16509 | US | Amazon.com, Inc.
205.251.196.241 | 16509 | 205.251.196.0/24 | AS16509 | US | Amazon.com, Inc.
205.251.197.42 | 16509 | 205.251.197.0/24 | AS16509 | US | Amazon.com, Inc.
205.251.198.104 | 16509 | 205.251.198.0/24 | AS16509 | US | Amazon.com, Inc.
205.251.198.236 | 16509 | 205.251.198.0/24 | AS16509 | US | Amazon.com, Inc.
207.148.94.123 | 20473 | 207.148.88.0/21 | AS20473 | US | The Constant Company, LLC
207.148.98.6 | 20473 | 207.148.96.0/20 | AS20473 | US | The Constant Company, LLC
207.244.71.79 | 30633 | 207.244.64.0/18 | AS30633 | US | Leaseweb USA, Inc.
207.244.71.80 | 30633 | 207.244.64.0/18 | AS30633 | US | Leaseweb USA, Inc.
207.244.71.81 | 30633 | 207.244.64.0/18 | AS30633 | US | Leaseweb USA, Inc.
207.244.71.82 | 30633 | 207.244.64.0/18 | AS30633 | US | Leaseweb USA, Inc.
207.244.71.84 | 30633 | 207.244.64.0/18 | AS30633 | US | Leaseweb USA, Inc.
207.244.89.161 | 30633 | 207.244.64.0/18 | AS30633 | US | Leaseweb USA, Inc.
207.244.89.162 | 30633 | 207.244.64.0/18 | AS30633 | US | Leaseweb USA, Inc.
207.244.89.166 | 30633 | 207.244.64.0/18 | AS30633 | US | Leaseweb USA, Inc.
209.151.146.85 | 25697 | 209.151.144.0/22 | AS25697 | US | UpCloud USA Inc
209.151.146.89 | 25697 | 209.151.144.0/22 | AS25697 | US | UpCloud USA Inc
209.151.146.91 | 25697 | 209.151.144.0/22 | AS25697 | US | UpCloud USA Inc
209.151.146.93 | 25697 | 209.151.144.0/22 | AS25697 | US | UpCloud USA Inc
209.50.49.126 | 25697 | 209.50.48.0/21 | AS25697 | US | UpCloud USA Inc
209.50.50.98 | 25697 | 209.50.48.0/21 | AS25697 | US | UpCloud USA Inc
209.50.58.103 | 25697 | 209.50.56.0/22 | AS25697 | US | UpCloud USA Inc
209.50.58.88 | 25697 | 209.50.56.0/22 | AS25697 | US | UpCloud USA Inc
209.50.61.152 | 25697 | 209.50.60.0/22 | AS25697 | US | UpCloud USA Inc
216.238.106.4 | 20473 | 216.238.96.0/19 | AS20473 | US | The Constant Company, LLC
216.238.109.16 | 20473 | 216.238.96.0/19 | AS20473 | US | The Constant Company, LLC
216.238.80.84 | 20473 | 216.238.64.0/19 | AS20473 | US | The Constant Company, LLC
217.12.199.168 | 15626 | 217.12.199.0/24 | AS15626 | UA | ITL LLC
217.69.7.2 | 20473 | 217.69.0.0/20 | AS20473 | US | The Constant Company, LLC
23.106.248.251 | 59253 | 23.106.248.0/24 | AS59253 | SG | Leaseweb Asia Pacific pte. ltd.
23.106.249.34 | 59253 | 23.106.249.0/24 | AS59253 | SG | Leaseweb Asia Pacific pte. ltd.
23.106.249.35 | 59253 | 23.106.249.0/24 | AS59253 | SG | Leaseweb Asia Pacific pte. ltd.
23.106.249.36 | 59253 | 23.106.249.0/24 | AS59253 | SG | Leaseweb Asia Pacific pte. ltd.
23.106.249.37 | 59253 | 23.106.249.0/24 | AS59253 | SG | Leaseweb Asia Pacific pte. ltd.
23.106.249.39 | 59253 | 23.106.249.0/24 | AS59253 | SG | Leaseweb Asia Pacific pte. ltd.
23.106.249.52 | 59253 | 23.106.249.0/24 | AS59253 | SG | Leaseweb Asia Pacific pte. ltd.
23.106.249.53 | 59253 | 23.106.249.0/24 | AS59253 | SG | Leaseweb Asia Pacific pte. ltd.
23.106.249.54 | 59253 | 23.106.249.0/24 | AS59253 | SG | Leaseweb Asia Pacific pte. ltd.
23.106.56.11 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.12 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.13 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.14 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.19 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.21 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.22 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.35 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.36 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.37 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.38 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.43 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.51 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.52 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.53 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.106.56.54 | 205544 | 23.106.56.0/21 | AS205544 | GB | LEASEWEB UK LIMITED
23.108.96.79 | 59253 | 23.108.96.0/22 | AS59253 | SG | Leaseweb Asia Pacific pte. ltd.
37.235.49.30 | 50613 | 37.235.49.0/24 | AS50613 | IS | Advania Island ehf
37.235.49.41 | 50613 | 37.235.49.0/24 | AS50613 | IS | Advania Island ehf
37.235.49.59 | 50613 | 37.235.49.0/24 | AS50613 | IS | Advania Island ehf
37.235.49.82 | 50613 | 37.235.49.0/24 | AS50613 | IS | Advania Island ehf
37.235.52.76 | 28099 | 37.235.52.0/24 | AS28099 | CL | iHosting Servicios Internet Ltda.
37.235.53.247 | 39020 | 37.235.53.0/24 | AS39020 | ES | Comvive Servidores S.L.
45.32.144.10 | 20473 | 45.32.144.0/21 | AS20473 | US | The Constant Company, LLC
45.32.18.40 | 20473 | 45.32.16.0/21 | AS20473 | US | The Constant Company, LLC
45.32.189.12 | 20473 | 45.32.188.0/22 | AS20473 | US | The Constant Company, LLC
45.32.24.223 | 20473 | 45.32.24.0/21 | AS20473 | US | The Constant Company, LLC
45.32.244.221 | 20473 | 45.32.240.0/21 | AS20473 | US | The Constant Company, LLC
45.32.255.165 | 20473 | 45.32.248.0/21 | AS20473 | US | The Constant Company, LLC
